1	1250
2	1375
3	1513
4	1664
5	1830
6	2013
7	2215
8	2436
9	2680
10	2948
11	3242
12	3567
13	3923
14	4316
15	4747
16	5222
17	5744
18	6319
19	6950
20	7645
21	8410
22	9251
23	10176
24	11193
25	12313
26	13544
27	14898
28	16388
29	18027
30	19830
31	21813
32	23994
33	26393
34	29033
35	31936
36	35129
37	38642
38	42507
39	46757
40	51433
41	56576
42	62234
43	68458
44	75303
45	82834
46	91117
47	100229
48	110251
49	121277
50	133404
51	146745
52	161419
53	177561
54	195318
55	214849
56	236334
57	259968
58	285965
59	314561
60	9999999
